OrderNumber,InventoryStatus,PaymentStatus,Customer,ContactName,Phone,Email,BillingAddress1,BillingAddress2,BillingCity,BillingState,BillingCountry,BillingPostalCode,BillingAddressRemarks,,ShippingAddress1,ShippingAddress2,ShippingCity,ShippingState,ShippingCountry,ShippingPostalCode,ShippingAddressRemarks,CurrencyCode,ExchangeRate,NonCustomerCost,OrderDate,OrderRemarks,Freight,InvoicedDate,DueDate,DatePaid,AmountPaid,RequestedShipDate,PONumber,SalesRep,Location,PricingScheme,PaymentTerms,PaymentMethod,TaxingScheme,Tax1Rate,Tax2Rate,CalculateTax2OnTax1,Tax1Name,Tax2Name,Tax1OnShipping,Tax2OnShipping,Custom1,Custom2,Custom3,Custom4,Custom5,Custom6,Custom7,Custom8,Custom9,Custom10,ProductName,ProductDescription,ProductQuantity,ProductQuantityUoM,ProductUnitPrice,ProductDiscount,ProductSubtotal,ProductSerials,SpecialTaxRate,IsQuote,IsCancelled
SO-000001,Fulfilled,Paid,Budget-Minding Collectibles,Bob Weiss,843-555-1337,,Box 491,,Isle Of Palms,SC,USA,29451,,,Box 491,,Isle Of Palms,SC,USA,29451,,USD,1,,11/25/2012 12:00:00 AM,"",,1/22/2013 2:10:32 PM,,1/22/2013 2:21:03 PM,9.62,,,,,Wholesale Price,,,SC Tax,6,1,FALSE,State Tax,City Tax,TRUE,TRUE,,,,,,,,,,,4275,"4"" Classic Airplane - 3 Piece Set",1,quad,8.99,0%,8.99,,Taxable,,FALSE
SO-000002,Fulfilled,Paid,Wall-Mart,George Elliot,479-555-4000,,Accounts Payable Dept.,P.O. Box 953,Bentville,AR,,72716,,,Accounts Payable Dept.,P.O. Box 953,Bentville,AR,,72716,,USD,1,,11/26/2012 12:00:00 AM,"",,1/22/2013 2:21:09 PM,3/23/2013 2:21:09 PM,1/22/2013 2:26:48 PM,42.45,,,,,Wholesale Price,Net 60,,AR Tax,6,0.5,FALSE,State Tax,City Tax,TRUE,TRUE,,,,,,,,,,,090821A,"3.75"" Military Classics Warship",10,box,3.99,15%,33.92,,Taxable,,FALSE
SO-000002,Fulfilled,Paid,Wall-Mart,George Elliot,479-555-4000,,Accounts Payable Dept.,P.O. Box 953,Bentville,AR,,72716,,,Accounts Payable Dept.,P.O. Box 953,Bentville,AR,,72716,,USD,1,,11/26/2012 12:00:00 AM,"",,1/22/2013 2:21:09 PM,3/23/2013 2:21:09 PM,1/22/2013 2:26:48 PM,42.45,,,,,Wholesale Price,Net 60,,AR Tax,6,0.5,FALSE,State Tax,City Tax,TRUE,TRUE,,,,,,,,,,,76289B,Kung Fu Master Action Figure,1,,6.99,15%,5.94,,Taxable,,FALSE
SO-000003,Fulfilled,Invoiced,PedalCar.COM,Doug,800-555-9631,sales@pedalcar.com,492 Third Street,#123,Highland Park,IL,USA,60035,,,492 Third Street,#123,Highland Park,IL,USA,60035,,USD,1,,12/11/2012 12:00:00 AM,"",,1/22/2013 2:27:06 PM,1/22/2013 2:27:06 PM,,0,,,,,Wholesale Price,Due on receipt,,IL Tax,5,1.25,FALSE,State Tax,City Tax,TRUE,TRUE,,,,,,,,,,,12875,Mini-Truck Battery Powered Red,30,,23.99,0%,719.7,,Taxable,,FALSE
SO-000004,Unfulfilled,Uninvoiced,Serious Deals For You,Debra Ignatieff,310-555-4932,deb@inflowsampledata.com,P.O. Box 2103,,Mountain View,CA,USA,94043,,,P.O. Box 2103,,Mountain View,CA,USA,94043,,USD,1,,12/25/2012 12:00:00 AM,"",,1/22/2013 2:57:02 PM,2/6/2013 2:57:02 PM,,0,,,,,Retail Price,Net 15,,CA Tax,8.25,0,FALSE,State Tax,City Tax,FALSE,FALSE,,,,,,,,,,,00303A,Army Combat Helmet,10,set,8.99,0%,89.9,,Taxable,,FALSE
SO-000004,Unfulfilled,Uninvoiced,Serious Deals For You,Debra Ignatieff,310-555-4932,deb@inflowsampledata.com,P.O. Box 2103,,Mountain View,CA,USA,94043,,,P.O. Box 2103,,Mountain View,CA,USA,94043,,USD,1,,12/25/2012 12:00:00 AM,"",,1/22/2013 2:57:02 PM,2/6/2013 2:57:02 PM,,0,,,,,Retail Price,Net 15,,CA Tax,8.25,0,FALSE,State Tax,City Tax,FALSE,FALSE,,,,,,,,,,,PM-BW01,"24"" x 750' Sheet of 3/16"" Bubble Wrap",5,,5,0%,25,,Taxable,,FALSE
SO-000004,Unfulfilled,Uninvoiced,Serious Deals For You,Debra Ignatieff,310-555-4932,deb@inflowsampledata.com,P.O. Box 2103,,Mountain View,CA,USA,94043,,,P.O. Box 2103,,Mountain View,CA,USA,94043,,USD,1,,12/25/2012 12:00:00 AM,"",,1/22/2013 2:57:02 PM,2/6/2013 2:57:02 PM,,0,,,,,Retail Price,Net 15,,CA Tax,8.25,0,FALSE,State Tax,City Tax,FALSE,FALSE,,,,,,,,,,,PM-SB03,"16"" X 14"" X 10"" Shipping Boxes",1,,0.5,0%,0.5,,Taxable,,FALSE
SO-000004,Unfulfilled,Uninvoiced,Serious Deals For You,Debra Ignatieff,310-555-4932,deb@inflowsampledata.com,P.O. Box 2103,,Mountain View,CA,USA,94043,,,P.O. Box 2103,,Mountain View,CA,USA,94043,,USD,1,,12/25/2012 12:00:00 AM,"",,1/22/2013 2:57:02 PM,2/6/2013 2:57:02 PM,,0,,,,,Retail Price,Net 15,,CA Tax,8.25,0,FALSE,State Tax,City Tax,FALSE,FALSE,,,,,,,,,,,Catalog06,2006 Product Catalog,1,,0,0%,0,,Taxable,,FALSE
SO-000005,Fulfilled,Paid,PedalCar.COM,Doug,800-555-9631,sales@pedalcar.com,492 Third Street,#123,Highland Park,IL,USA,60035,,,492 Third Street,#123,Highland Park,IL,USA,60035,,USD,1,,12/27/2012 12:00:00 AM,"",,1/22/2013 2:58:45 PM,1/22/2013 2:58:45 PM,1/22/2013 3:00:10 PM,306,,,,,Wholesale Price,Due on receipt,,IL Tax,5,1.25,FALSE,State Tax,City Tax,TRUE,TRUE,,,,,,,,,,,20101,1:24 California Highway Patrol,8,,30,0%,240,,Taxable,,FALSE
SO-000005,Fulfilled,Paid,PedalCar.COM,Doug,800-555-9631,sales@pedalcar.com,492 Third Street,#123,Highland Park,IL,USA,60035,,,492 Third Street,#123,Highland Park,IL,USA,60035,,USD,1,,12/27/2012 12:00:00 AM,"",,1/22/2013 2:58:45 PM,1/22/2013 2:58:45 PM,1/22/2013 3:00:10 PM,306,,,,,Wholesale Price,Due on receipt,,IL Tax,5,1.25,FALSE,State Tax,City Tax,TRUE,TRUE,,,,,,,,,,,Catalog07,2007 Product Catalog,1,,0,0%,0,,Taxable,,FALSE
SO-000005,Fulfilled,Paid,PedalCar.COM,Doug,800-555-9631,sales@pedalcar.com,492 Third Street,#123,Highland Park,IL,USA,60035,,,492 Third Street,#123,Highland Park,IL,USA,60035,,USD,1,,12/27/2012 12:00:00 AM,"",,1/22/2013 2:58:45 PM,1/22/2013 2:58:45 PM,1/22/2013 3:00:10 PM,306,,,,,Wholesale Price,Due on receipt,,IL Tax,5,1.25,FALSE,State Tax,City Tax,TRUE,TRUE,,,,,,,,,,,S10001,Custom Die-Cast Engraving,8,,5,0%,40,,Taxable,,FALSE
SO-000005,Fulfilled,Paid,PedalCar.COM,Doug,800-555-9631,sales@pedalcar.com,492 Third Street,#123,Highland Park,IL,USA,60035,,,492 Third Street,#123,Highland Park,IL,USA,60035,,USD,1,,12/27/2012 12:00:00 AM,"",,1/22/2013 2:58:45 PM,1/22/2013 2:58:45 PM,1/22/2013 3:00:10 PM,306,,,,,Wholesale Price,Due on receipt,,IL Tax,5,1.25,FALSE,State Tax,City Tax,TRUE,TRUE,,,,,,,,,,,S10002,Custom Package Printing,8,,1,0%,8,,Taxable,,FALSE
SO-000006,Fulfilled,Paid,Wall-Mart,George Elliot,479-555-4000,,Accounts Payable Dept.,P.O. Box 953,Bentville,AR,,72716,,,Accounts Payable Dept.,P.O. Box 953,Bentville,AR,,72716,,USD,1,,12/31/2012 12:00:00 AM,"",,,,2/9/2013 1:05:03 PM,42.45,,,,,Wholesale Price,Net 60,,AR Tax,6,0.5,FALSE,State Tax,City Tax,TRUE,TRUE,,,,,,,,,,,090821A,"3.75"" Military Classics Warship",10,box,3.99,15%,33.92,,Taxable,,TRUE
